ID,state,Area_name,Rural_Urban2003,Urban_2003,Rural_urban2013,Urban_2013,Less_highSch1970,HighSch1970,Somecoll1970,Bachelors1970,Percent_lesshighSch1970,Percent_highsch1970,Percent_somecoll1970,Percent_Bachelors1970,Less_highSch1980,Highsch1980,Somecoll1980,Bachelors1980,Percent_lesshighSch1980,Percent_highsch1980,SomeColl1980,Percent_Bachelors1980,Less_highSch1990,Highsch1990,Some_orAssociate1990,Bachelors1990,Percent_lesshighSch1990,Percent_highschl1990,Percent_orAssociate_deg1990,Percent_Bachalors1990,Less_highSch2000,HighSch_dip2000,Some_orAssociate2000,Bachelors2000,Percent_lesshighSch2000,Percent_highsch2000,Percent_orAssociate_deg2000,Percent_Bachalors2000,Less_highSch2015_19,HighSch_dip2015_19,SomeColl2015_19,Bachelors2015_19,Percent_lesshighSch2015_19,Percent_highsch2015_19,Percent_orAssociate_deg2015_19,Percent_Bachalors2015_19
36027,NY,Dutchess County,2,2,1,1,"52,120","39,264","15,289","17,379",42.0,31.7,12.3,14.0,"43,022","50,888","24,638","27,621",29.4,34.8,16.9,18.9,"33,942","48,960","43,791","41,753",20.2,29.1,26.0,24.8,"29,474","51,471","52,023","50,757",16.0,28.0,28.3,27.6,"18,362","55,135","60,058","72,058",8.9,26.8,29.2,35.0
36029,NY,Erie County,1,1,1,1,"304,365","188,185","59,851","61,656",49.6,30.6,9.7,10.0,"212,504","216,885","91,212","92,701",34.6,35.4,14.9,15.1,"151,002","202,981","158,056","128,098",23.6,31.7,24.7,20.0,"109,120","190,461","181,583","156,512",17.1,29.9,28.5,24.5,"52,928","178,202","192,920","221,931",8.2,27.6,29.9,34.4
36031,NY,Essex County,6,6,6,6,"9,546","6,264","1,912","1,569",49.5,32.5,9.9,8.1,"7,685","7,947","3,301","3,112",34.9,36.0,15.0,14.1,"6,409","8,867","5,646","3,931",25.8,35.7,22.7,15.8,"5,364","10,423","6,560","4,990",19.6,38.1,24.0,18.3,"2,447","9,871","8,666","7,683",8.5,34.4,30.2,26.8
36033,NY,Franklin County,5,8,7,8,"12,512","6,448","2,066","1,616",55.3,28.5,9.1,7.1,"10,161","8,806","3,366","2,925",40.2,34.9,13.3,11.6,"9,057","10,521","6,609","3,470",30.5,35.5,22.3,11.7,"10,463","11,654","7,888","4,477",30.3,33.8,22.9,13.0,"4,422","13,214","10,740","6,689",12.6,37.7,30.6,19.1
36035,NY,Fulton County,4,5,4,5,"16,860","9,250","2,498","1,986",55.1,30.2,8.2,6.5,"13,590","12,554","4,307","3,127",40.5,37.4,12.8,9.3,"10,435","13,464","7,444","4,026",29.5,38.1,21.0,11.4,"8,331","14,443","9,666","5,043",22.2,38.5,25.8,13.5,"4,898","13,766","12,905","7,032",12.7,35.7,33.4,18.2
36037,NY,Genesee County,4,3,4,3,"13,951","11,603","3,453","2,532",44.2,36.8,10.9,8.0,"10,660","14,671","5,217","4,085",30.8,42.4,15.1,11.8,"8,643","13,956","10,326","5,342",22.6,36.5,27.0,14.0,"6,244","15,301","12,047","6,533",15.6,38.1,30.0,16.3,"3,205","14,864","14,055","9,210",7.8,36.0,34.0,22.3
36039,NY,Greene County,6,6,6,6,"9,893","6,640","1,787","1,341",50.3,33.8,9.1,6.8,"9,541","10,414","3,137","2,511",37.3,40.7,12.3,9.8,"8,162","10,561","7,280","4,025",27.2,35.2,24.2,13.4,"6,975","11,880","8,359","5,356",21.4,36.5,25.7,16.4,"4,709","13,689","9,157","7,804",13.3,38.7,25.9,22.1
36041,NY,Hamilton County,8,7,8,7,"1,481",855,293,227,51.9,29.9,10.3,7.9,"1,066","1,286",545,364,32.7,39.4,16.7,11.2,849,"1,459",872,565,22.7,39.0,23.3,15.1,667,"1,499","1,117",739,16.6,37.3,27.8,18.4,804,969,"1,193",601,22.5,27.2,33.4,16.8
36043,NY,Herkimer County,2,2,2,2,"20,057","12,482","3,347","2,479",52.3,32.5,8.7,6.5,"14,865","15,346","5,629","4,166",37.2,38.4,14.1,10.4,"11,667","15,537","9,966","5,487",27.4,36.4,23.4,12.9,"8,959","15,391","12,292","6,813",20.6,35.4,28.3,15.7,"4,446","16,144","13,747","9,395",10.2,36.9,31.4,21.5
36045,NY,Jefferson County,4,5,3,2,"22,290","16,918","5,107","3,541",46.6,35.4,10.7,7.4,"18,353","20,134","7,213","5,275",36.0,39.5,14.2,10.3,"15,309","24,922","15,922","8,814",23.6,38.4,24.5,13.6,"11,802","25,004","21,100","11,059",17.1,36.3,30.6,16.0,"6,416","24,858","24,361","15,905",9.0,34.7,34.1,22.2
36047,NY,Kings County,1,1,1,1,"877,093","417,452","97,198","99,129",58.8,28.0,6.5,6.6,"600,751","429,695","148,512","154,408",45.1,32.2,11.1,11.6,"529,049","415,668","271,888","241,299",36.3,28.5,18.6,16.6,"484,306","414,868","314,446","339,250",31.2,26.7,20.2,21.8,"313,615","458,191","340,996","667,445",17.6,25.7,19.2,37.5
36049,NY,Lewis County,6,6,6,6,"6,435","3,835","1,007",762,53.5,31.9,8.4,6.3,"5,178","5,662","1,596","1,339",37.6,41.1,11.6,9.7,"4,295","7,293","2,966","1,707",26.4,44.8,18.2,10.5,"3,308","8,349","3,677","2,033",19.0,48.1,21.2,11.7,"1,809","8,198","4,971","3,382",9.9,44.7,27.1,18.4
36051,NY,Livingston County,1,1,1,1,"13,241","8,564","3,072","2,847",47.8,30.9,11.1,10.3,"10,159","11,774","4,547","4,594",32.7,37.9,14.6,14.8,"8,450","13,265","9,108","6,815",22.5,35.2,24.2,18.1,"7,078","13,557","11,731","7,715",17.7,33.8,29.3,19.2,"4,009","13,617","13,763","11,289",9.4,31.9,32.2,26.5
36053,NY,Madison County,2,2,2,2,"13,662","10,260","3,564","3,269",44.4,33.4,11.6,10.6,"11,106","13,225","5,180","5,380",31.8,37.9,14.8,15.4,"8,538","15,086","9,972","7,485",20.8,36.7,24.3,18.2,"7,291","14,519","12,497","9,455",16.7,33.2,28.6,21.6,"3,831","16,683","14,882","12,571",8.0,34.8,31.0,26.2
36055,NY,Monroe County,1,1,1,1,"162,315","120,767","46,056","55,829",42.2,31.4,12.0,14.5,"116,994","139,390","69,407","88,338",28.3,33.7,16.8,21.3,"91,284","128,252","118,080","120,303",19.9,28.0,25.8,26.3,"72,410","124,927","131,667","148,953",15.1,26.1,27.5,31.2,"49,395","119,716","145,516","198,049",9.6,23.4,28.4,38.6
36057,NY,Montgomery County,4,5,4,5,"18,637","10,728","2,461","1,980",55.1,31.7,7.3,5.9,"13,471","13,285","4,585","2,889",39.4,38.8,13.4,8.4,"10,398","13,160","7,481","3,743",29.9,37.8,21.5,10.8,"7,426","13,277","8,591","4,606",21.9,39.2,25.3,13.6,"4,503","12,106","11,506","6,084",13.2,35.4,33.6,17.8
36059,NY,Nassau County,1,1,1,1,"271,540","288,928","98,516","134,764",34.2,36.4,12.4,17.0,"184,257","311,715","135,958","195,076",22.3,37.7,16.4,23.6,"139,145","266,264","211,557","264,071",15.8,30.2,24.0,30.0,"120,738","243,454","223,180","321,321",13.3,26.8,24.6,35.4,"81,146","213,909","214,545","433,413",8.6,22.7,22.8,46.0
36061,NY,New York County,1,1,1,1,"468,098","241,162","108,934","213,586",45.4,23.4,10.6,20.7,"324,150","210,765","142,211","336,370",32.0,20.8,14.0,33.2,"270,929","174,018","188,081","462,289",24.7,15.9,17.2,42.2,"240,354","151,995","177,445","556,193",21.3,13.5,15.8,49.4,"158,971","155,198","169,148","766,048",12.7,12.4,13.5,61.3
36063,NY,Niagara County,1,1,1,1,"63,193","43,454","11,339","9,665",49.5,34.0,8.9,7.6,"46,274","54,808","18,212","15,476",34.3,40.7,13.5,11.5,"34,973","53,615","36,418","19,606",24.2,37.1,25.2,13.6,"24,634","54,361","42,526","25,632",16.7,36.9,28.9,17.4,"13,277","50,066","50,303","37,080",8.8,33.2,33.4,24.6
36065,NY,Oneida County,2,2,2,2,"74,294","47,480","14,179","13,935",49.6,31.7,9.5,9.3,"52,953","56,497","21,802","20,005",35.0,37.4,14.4,13.2,"40,353","52,245","42,257","27,089",24.9,32.3,26.1,16.7,"33,281","51,748","44,745","29,072",21.0,32.6,28.2,18.3,"18,349","50,633","49,041","40,921",11.5,31.9,30.9,25.7
36067,NY,Onondaga County,2,2,2,2,"99,479","86,566","27,162","36,285",39.9,34.7,10.9,14.5,"73,729","98,854","44,606","52,392",27.3,36.7,16.5,19.4,"57,371","90,367","77,317","72,647",19.3,30.4,26.0,24.4,"42,558","86,409","83,346","84,601",14.3,29.1,28.1,28.5,"28,391","80,217","93,903","113,367",9.0,25.4,29.7,35.9
36069,NY,Ontario County,1,1,1,1,"17,791","15,013","5,272","4,447",41.8,35.3,12.4,10.5,"15,224","20,196","8,923","8,068",29.0,38.5,17.0,15.4,"11,666","20,753","16,996","11,979",19.0,33.8,27.7,19.5,"8,406","21,017","20,686","16,430",12.6,31.6,31.1,24.7,"4,704","20,395","24,049","28,024",6.1,26.4,31.2,36.3
36071,NY,Orange County,2,2,1,1,"54,856","41,651","12,202","12,117",45.4,34.5,10.1,10.0,"48,615","55,787","22,958","22,348",32.5,37.3,15.3,14.9,"43,351","61,134","48,402","37,062",22.8,32.2,25.5,19.5,"38,629","66,119","60,115","47,953",18.2,31.1,28.2,22.5,"24,903","71,028","73,209","73,635",10.3,29.3,30.2,30.3
