"","FIPS","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","PCT_MALE","PCT_FEMALE","PCT_WA_MALE","PCT_WA_FEMALE","PCT_BA_MALE","PCT_BA_FEMALE","PCT_IA_MALE","PCT_IA_FEMALE","PCT_AA_MALE","PCT_AA_FEMALE","PCT_NA_MALE","PCT_NA_FEMALE","PCT_TOM_MALE","PCT_TOM_FEMALE","PCT_BY_F_WA_FEMALE","PCT_BY_F_BA_FEMALE","PCT_BY_F_IA_FEMALE","PCT_BY_F_AA_FEMALE","PCT_BY_F_NA_FEMALE","PCT_BY_F_TOM_FEMALE"
"41",36081,"Queens County",1873234,898806,974428,443153,453148,174482,213498,12549,11357,243975,269713,2029,2272,22618,24440,0.479815121869451,0.520184878130549,0.236571085086006,0.241906777263278,0.0931447966458008,0.113972947319982,0.00669910966809272,0.00606277699422496,0.13024267123061,0.143982545693704,0.00108315351952826,0.00121287570052647,0.0120743057194136,0.0130469551588323,0.46504000295558,0.219100846855796,0.0116550427532871,0.276791102061928,0.00233162429651036,0.0250813810768984
"42",36083,"Rensselaer County",133409,65335,68074,57305,59808,4572,5054,235,208,1980,1754,38,29,1205,1221,0.489734575628331,0.510265424371669,0.429543733930994,0.448305586579616,0.0342705514620453,0.0378835011131183,0.0017615003485522,0.0015591152021228,0.0148415774048228,0.013147538771747,0.000284838354233972,0.000217376638757505,0.00903237412768254,0.00915230606630737,0.87857331727238,0.0742427358462849,0.0030554984281811,0.0257660780914887,0.000426006992390634,0.0179363633692746
"43",36085,"Richmond County",391031,187592,203439,142526,152672,19670,23437,1233,1209,20872,22570,217,189,3074,3362,0.479736900654935,0.520263099345065,0.364487726037066,0.390434517979393,0.0503029171600206,0.0599364244778547,0.00315320268725497,0.00309182647923055,0.053376842245244,0.0577192089629722,0.000554943214220867,0.000483337638192368,0.00786126931112878,0.00859778380742192,0.750455910616942,0.115204066083691,0.00594281332487871,0.110942346354435,0.00092902540810759,0.0165258382119456
"44",36087,"Rockland County",248605,120693,127912,93418,97506,16298,18228,783,627,7954,9214,160,154,2080,2183,0.485480983890107,0.514519016109893,0.375768789847348,0.392212546006718,0.0655578125942761,0.0733211319160918,0.0031495746264154,0.002522073168279,0.0319945294744675,0.0370628104824923,0.000643591239114258,0.000619456567647473,0.00836668610848535,0.00878099796866515,0.762289699168178,0.142504221652386,0.0049018074926512,0.0720338983050847,0.00120395271749328,0.0170664206642066
"45",36089,"St. Lawrence County",89984,45829,44155,42190,42178,2085,466,474,452,479,540,49,17,552,502,0.509301653627312,0.490698346372688,0.46886113086771,0.468727773826458,0.0231707859174964,0.00517869843527738,0.00526760312944523,0.00502311522048364,0.00532316856330014,0.00600106685633001,0.000544541251778094,0.000188922475106686,0.00613442389758179,0.00557876955903272,0.955225908730608,0.0105537311742724,0.0102366662892085,0.0122296455667535,0.000385007360434832,0.0113690408787227
"46",36091,"Saratoga County",192923,94667,98256,88424,92192,1994,1713,243,227,2503,2772,38,34,1465,1318,0.490698361522473,0.509301638477527,0.458338300772847,0.477869409038839,0.0103357297989353,0.00887919014321776,0.00125956988021128,0.00117663523789284,0.0129740881076906,0.0143684267816694,0.00019696977550629,0.000176236114926681,0.00759370318728197,0.00683174116098132,0.938283667155186,0.0174340498290181,0.00231029148347175,0.0282120175867123,0.000346034847744667,0.0134139390978668
"47",36093,"Schenectady County",127549,61422,66127,48883,52837,7179,7593,465,485,3011,3250,132,142,1752,1820,0.481556107848748,0.518443892151252,0.383248790660844,0.414248641698485,0.0562842515425444,0.0595300629561972,0.00364565774721872,0.00380246023097006,0.0236066139287646,0.0254804036095932,0.00103489639275886,0.00111329763463453,0.0137358975766176,0.0142690260213722,0.799023091929167,0.114824504362817,0.00733437173922906,0.0491478518608133,0.00214738306591861,0.0275227970420554
"48",36095,"Schoharie County",26646,13248,13398,12680,12881,224,193,46,39,101,106,5,4,192,175,0.497185318621932,0.502814681378068,0.475868798318697,0.483412144411919,0.0084065150491631,0.00724311341289499,0.00172633791188171,0.00146363431659536,0.00379043758913158,0.00397808301433611,0.000187645425204534,0.000150116340163627,0.00720558432785409,0.00656758988215867,0.961412151067323,0.0144051350947903,0.00291088222122705,0.00791162860128377,0.000298552022689954,0.0130616509926855
"49",36097,"Schuyler County",15077,7471,7606,7244,7355,80,72,28,24,33,66,4,1,82,88,0.495522982025602,0.504477017974398,0.480466936393182,0.487829143728859,0.0053060953770644,0.00477548583935796,0.00185713338197254,0.00159182861311932,0.00218876434303907,0.00437752868607813,0.00026530476885322,0.000066326192213305,0.00543874776149101,0.00583670491477084,0.966999737049698,0.00946621088614252,0.00315540362871417,0.00867735997896398,0.000131475151196424,0.0115698133052853
"50",36099,"Seneca County",28461,14948,13513,13060,12962,1495,209,96,45,102,123,2,0,193,174,0.525209936404202,0.474790063595798,0.458873546256281,0.455430237869365,0.0525280208003935,0.00734338217209515,0.00337303678718246,0.00158111099399178,0.00358385158638136,0.00432170338357753,0.0000702715997329679,0,0.0067812093742314,0.00611362917676821,0.95922445052912,0.0154665877303338,0.0033301265448087,0.00910234588914379,0,0.0128764893065937
"51",36101,"Steuben County",78727,38996,39731,36929,38039,837,465,120,118,644,634,14,15,452,460,0.495331969972182,0.504668030027818,0.469076682713681,0.483176038716069,0.010631676553152,0.00590648697397335,0.00152425470296086,0.00149885045791152,0.00818016690588998,0.00805314568064324,0.000177829715345434,0.000190531837870108,0.00574135938115259,0.00584297636134998,0.957413606503738,0.0117037074324835,0.00296997306888827,0.0159573129294506,0.00037753894943495,0.0115778611160051
"52",36103,"Suffolk County",1226093,599271,626822,510459,531784,50054,54701,3900,3585,25289,26918,583,487,8986,9347,0.488764718500146,0.511235281499854,0.416329756388789,0.43372240115554,0.0408239831725652,0.044614070873906,0.00318083538524402,0.00292392175797431,0.0206256784762657,0.0219542889487176,0.000475494110153145,0.000397196623747138,0.00732897096712892,0.00762340213996818,0.848381199128301,0.0872671986624592,0.00571932701787748,0.0429436107858371,0.000776935078858113,0.0149117293266669
"53",36105,"Sullivan County",62316,31952,30364,26806,26261,3574,2570,266,205,600,670,27,20,679,638,0.512741511008409,0.487258488991591,0.430162398100006,0.421416650619424,0.057352846780923,0.0412414147249503,0.00426856666024777,0.00328968483214584,0.00962834585018294,0.0107516528660376,0.000433275563258232,0.000320944861672765,0.0108960780537904,0.0102381410873612,0.864872875773943,0.0846397049137136,0.00675141615070478,0.0220656040047425,0.000658674746410223,0.0210117244104861
"54",36107,"Tioga County",40159,19798,20361,19105,19751,243,169,56,45,146,186,14,5,234,205,0.492990363305859,0.507009636694141,0.475733957518863,0.491820015438631,0.00605094748375209,0.00420827211832964,0.00139445703329266,0.00112054583032446,0.00363554869394158,0.00463158943200777,0.000348614258323165,0.000124505092258273,0.00582683831768719,0.00510470878258921,0.97004076420608,0.00830018171995481,0.00221010755856785,0.00913511124208045,0.000245567506507539,0.0100682677668091
