FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_T,Rural_urban_Continuum_Code,Urban_Influence_Code,Est_Total_Pop_Ct,CI90_LB_Total_Pop_Ct,CI90_UB_Total_Pop_Ct,Est_Total_Pop_Pct,Rural_urban_Continuum_Desc,Urban_Influence_Desc,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,PCT_MALE,PCT_FEMALE,PCT_WA_MALE,PCT_WA_FEMALE,PCT_BA_MALE,PCT_BA_FEMALE,PCT_IA_MALE,PCT_IA_FEMALE,PCT_AA_MALE,PCT_AA_FEMALE,PCT_NA_MALE,PCT_NA_FEMALE,PCT_TOM_MALE,PCT_TOM_FEMALE,PCT_BY_F_WA_FEMALE,PCT_BY_F_BA_FEMALE,PCT_BY_F_IA_FEMALE,PCT_BY_F_AA_FEMALE,PCT_BY_F_NA_FEMALE,PCT_BY_F_TOM_FEMALE,year,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe
36021,NY,Columbia County,31041,30086,955,3.1,30309,28431,1878,6.2,71563,99.34062958,6,3,5883,4591,7175,10.1,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,51436,25520,25916,23067,23778,1503,1095,86,69,431,551,23,11,410,412,0.496150556,0.503849444,0.448460222,0.462283226,0.029220779,0.021288592,0.001671981,0.001341473,0.008379345,0.010712342,0.000447158,0.000213858,0.007971071,0.008009954,0.917502701,0.042251891,0.002662448,0.021260997,0.000424448,0.015897515,2018,1,0,2,0,17447,0,1003,201,16444,201,5.7,1.2,94.3,1.2,5.7,1.2,94.3,1.2
36023,NY,Cortland County,22836,21766,1070,4.7,22453,20668,1785,7.9,55143,76.54710388,4,5,7542,6330,8754,17.3,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,40104,19429,20675,18401,19707,480,341,78,82,164,252,6,6,300,287,0.48446539,0.51553461,0.458832037,0.491397367,0.011968881,0.008502892,0.001944943,0.002044684,0.004089368,0.006283662,0.000149611,0.000149611,0.007480551,0.007156393,0.953180169,0.016493349,0.003966143,0.012188634,0.000290206,0.013881499,2018,1,0,2,0,13732,0,567,125,13165,125,4.1,0.9,95.9,0.9,4.1,0.9,95.9,0.9
36025,NY,Delaware County,18941,18085,856,4.5,18614,17274,1340,7.2,51038,70.84871674,6,6,5290,4106,6474,12.6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",38307,19401,18906,18380,18100,534,293,74,68,187,234,11,12,215,199,0.50646096,0.49353904,0.479807868,0.472498499,0.013940011,0.007648733,0.001931762,0.001775132,0.004881614,0.006108544,0.000287154,0.000313259,0.005612551,0.005194873,0.957368031,0.015497726,0.003596742,0.012377023,0.000634719,0.010525759,2018,1,0,2,0,12146,0,632,128,11514,128,5.2,1.1,94.8,1.1,5.2,1.1,94.8,1.1
36027,NY,Dutchess County,144340,139358,4982,3.5,142061,131173,10888,7.7,84564,117.3880463,1,1,23693,20057,27329,8.6,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,250295,123729,126566,100802,104537,15420,13858,569,549,4395,4972,106,106,2437,2544,0.494332687,0.505667313,0.402732775,0.417655167,0.061607303,0.055366667,0.002273317,0.002193412,0.01755928,0.01986456,0.0004235,0.0004235,0.009736511,0.010164006,0.825948517,0.109492281,0.004337658,0.039283852,0.000837508,0.020100185,2018,1,0,2,0,87288,0,4580,823,82708,823,5.2,0.9,94.8,0.9,5.2,0.9,94.8,0.9
36029,NY,Erie County,440795,422846,17949,4.1,439291,397536,41755,9.5,60620,84.15003204,1,1,118386,108977,127795,13.3,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,766367,366959,399408,300203,321395,45358,54820,2485,2787,13432,14314,148,164,5333,5928,0.478829334,0.521170666,0.391722243,0.41937479,0.059185743,0.071532308,0.003242572,0.003636639,0.017526851,0.018677735,0.000193119,0.000213997,0.006958807,0.007735197,0.804678424,0.137253135,0.006977827,0.03583804,0.000410608,0.014841966,2018,1,0,2,0,282502,0,11534,1631,270968,1631,4.1,0.6,95.9,0.6,4.1,0.6,95.9,0.6
36031,NY,Essex County,16940,16174,766,4.5,16518,15174,1344,8.1,55091,76.47491455,6,6,4338,3531,5145,12.4,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",32153,16661,15492,15330,15044,890,84,124,54,119,139,10,8,188,163,0.518178708,0.481821292,0.476782882,0.467887911,0.027680154,0.002612509,0.003856561,0.00167947,0.003701054,0.00432308,0.000311013,0.00024881,0.005847044,0.005069511,0.971081849,0.005422153,0.00348567,0.008972373,0.000516396,0.01052156,2018,1,0,2,0,10534,0,475,100,10059,100,4.5,0.9,95.5,0.9,4.5,0.9,95.5,0.9
36033,NY,Franklin County,19437,18515,922,4.7,19197,17622,1575,8.2,48943,67.94052887,7,8,8017,6753,9281,18.1,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,42075,23430,18645,18541,16714,3060,96,1499,1511,103,99,4,6,223,219,0.556862745,0.443137255,0.440665478,0.397243018,0.072727273,0.00228164,0.035626857,0.035912062,0.00244801,0.002352941,9.50683E-05,0.000142602,0.005300059,0.005204991,0.89643336,0.005148833,0.081040493,0.005309735,0.000321802,0.011745776,2018,1,0,2,0,13181,0,861,175,12320,175,6.5,1.3,93.5,1.3,6.5,1.3,93.5,1.3
36035,NY,Fulton County,22465,21380,1085,4.8,22509,20569,1940,8.6,50061,69.49249268,4,5,8533,7258,9808,16.4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,44547,21996,22551,20837,21729,666,324,77,60,137,185,8,7,271,246,0.493770624,0.506229376,0.46775316,0.487776955,0.014950502,0.007273217,0.001728511,0.001346892,0.003075404,0.004152917,0.000179586,0.000157137,0.006083462,0.005522257,0.963549288,0.014367434,0.002660636,0.008203627,0.000310408,0.010908607,2018,1,0,2,0,15840,0,760,161,15080,161,4.8,1,95.2,1,4.8,1,95.2,1
36037,NY,Genesee County,29631,28514,1117,3.8,28962,26833,2129,7.4,62570,86.85693359,4,3,5825,4852,6798,10.5,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,47721,23751,23970,22033,22632,957,551,265,269,165,172,4,6,327,340,0.497705413,0.502294587,0.461704491,0.474256617,0.020054064,0.011546279,0.005553111,0.005636931,0.003457597,0.003604283,8.38205E-05,0.000125731,0.006852329,0.007124746,0.944180225,0.022987067,0.011222361,0.007175636,0.000250313,0.014184397,2018,1,0,2,0,16974,0,726,145,16248,145,4.3,0.9,95.7,0.9,4.3,0.9,95.7,0.9
36039,NY,Greene County,20162,19297,865,4.3,20281,18598,1683,8.3,54746,75.9960022,6,6,5589,4368,6810,12.6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",40977,21418,19559,18588,18375,2116,517,95,92,280,248,11,9,328,318,0.522683457,0.477316543,0.453620324,0.448422286,0.051638724,0.012616834,0.002318374,0.002245162,0.006833101,0.006052176,0.000268443,0.000219635,0.00800449,0.007760451,0.939465208,0.026432844,0.004703717,0.012679585,0.000460146,0.0162585,2018,1,0,2,0,13396,0,764,159,12632,159,5.7,1.2,94.3,1.2,5.7,1.2,94.3,1.2
