"","FIPS","State","Area_Name","Rural-urban_Continuum_Code","Urban_Influence_Code","Est_Total_Pop_Ct","CI90_LB_Total_Pop_Ct","CI90_UB_Total_Pop_Ct","Est_Total_Pop_Pct","Rural-urban_Continuum_Desc","Urban_Influence_Desc"
"39","36075","NY","Oswego County",2,2,17530,15013,20047,15.6,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"40","36077","NY","Otsego County",7,8,8809,7270,10348,16.2,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area"
"41","36079","NY","Putnam County",1,1,5016,3843,6189,5.2,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"42","36081","NY","Queens County",1,1,245941,223169,268713,11,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"43","36083","NY","Rensselaer County",2,2,17506,15035,19977,11.5,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"44","36085","NY","Richmond County",1,1,42807,35452,50162,9.1,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"45","36087","NY","Rockland County",1,1,40031,35334,44728,12.5,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"46","36089","NY","St. Lawrence County",4,5,18348,16107,20589,18.9,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area"
"47","36091","NY","Saratoga County",2,2,13482,10862,16102,6,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"48","36093","NY","Schenectady County",2,2,18363,15546,21180,12.1,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"49","36095","NY","Schoharie County",2,2,3600,2827,4373,12.1,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"50","36097","NY","Schuyler County",6,7,2763,2329,3197,15.7,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents"
"51","36099","NY","Seneca County",6,3,4302,3573,5031,13.7,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"52","36101","NY","Steuben County",4,3,14089,12308,15870,15,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"53","36103","NY","Suffolk County",1,1,97920,84924,110916,6.8,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"54","36105","NY","Sullivan County",4,4,11745,9726,13764,16.1,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Noncore adjacent to a large metro area"
"55","36107","NY","Tioga County",2,2,4485,3586,5384,9.4,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"56","36109","NY","Tompkins County",3,2,15079,12864,17294,16.9,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"57","36111","NY","Ulster County",3,2,20451,17356,23546,12,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"58","36113","NY","Warren County",3,2,6399,5156,7642,10.1,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"59","36115","NY","Washington County",3,2,6917,5492,8342,11.9,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"60","36117","NY","Wayne County",1,1,10093,8474,11712,11.4,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"61","36119","NY","Westchester County",1,1,79545,69218,89872,8.4,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"62","36121","NY","Wyoming County",6,4,3598,2837,4359,9.9,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a large metro area"
"63","36123","NY","Yates County",1,1,3271,2563,3979,13.9,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
